date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2018-12-30,0,80,21,31,8,35,59,13,34,0
2018-12-31,0,84,18,29,7,32,59,11,31,0
2019-01-01,0,84,16,27,7,24,62,12,30,0
2019-01-02,0,75,22,29,6,42,67,14,47,0
2019-01-03,0,76,21,33,7,40,64,17,38,0
2019-01-04,0,79,23,26,8,42,61,21,36,0
2019-01-05,0,80,21,31,6,35,64,15,32,0
2019-01-06,0,76,18,31,8,34,69,15,39,0
2019-01-07,0,74,21,27,10,36,61,12,47,0
2019-01-08,0,86,19,30,13,39,59,16,46,0
2019-01-09,0,78,23,26,11,36,69,21,48,0
2019-01-10,0,74,19,26,12,32,61,21,44,0
2019-01-11,0,89,21,29,9,32,59,18,44,0
2019-01-12,0,88,20,25,8,31,51,9,42,0
2019-01-13,0,78,17,27,7,31,64,17,31,0
2019-01-14,0,71,20,32,13,41,67,25,48,0
2019-01-15,0,86,18,32,13,36,62,23,45,0
2019-01-16,0,78,22,28,14,31,51,24,46,0
2019-01-17,0,77,20,28,11,29,60,20,47,0
2019-01-18,0,84,21,33,12,30,55,18,39,0
2019-01-19,0,79,20,30,7,32,64,16,42,0
2019-01-20,0,77,24,26,7,29,70,15,37,0
2019-01-21,0,75,25,29,13,34,60,19,47,0
2019-01-22,0,79,26,27,15,31,59,21,48,0
2019-01-23,0,77,23,28,13,29,55,18,50,0
2019-01-24,0,78,25,29,12,31,59,21,48,0
2019-01-25,0,86,20,30,10,30,60,17,42,0
2019-01-26,0,85,24,29,7,28,51,10,52,0
2019-01-27,0,82,23,24,8,37,61,16,45,0
2019-01-28,0,77,23,26,15,29,57,20,50,0
2019-01-29,0,83,29,29,13,30,64,20,42,0
2019-01-30,0,90,27,27,11,38,54,23,45,0
2019-01-31,0,85,28,24,11,32,52,24,48,0
2019-02-01,0,83,26,24,12,35,54,21,41,0
2019-02-02,0,85,29,29,8,31,64,17,40,0
2019-02-03,0,83,21,23,8,36,57,17,44,0
2019-02-04,0,89,28,28,12,30,60,23,49,0
2019-02-05,0,82,21,25,14,37,60,26,50,0
2019-02-06,0,89,25,24,13,40,58,20,48,0
2019-02-07,0,89,23,28,12,32,58,23,44,0
2019-02-08,0,88,26,26,12,27,60,18,44,0
2019-02-09,0,82,19,28,6,35,69,18,46,0
2019-02-10,0,78,21,28,8,37,48,20,54,0
2019-02-11,0,82,21,26,12,31,54,25,49,0
2019-02-12,0,83,22,27,13,28,50,29,51,0
2019-02-13,0,81,22,29,12,26,45,19,43,0
2019-02-14,0,76,19,26,14,24,59,19,39,0
2019-02-15,0,90,23,30,14,28,50,20,51,0
2019-02-16,0,86,20,24,11,32,60,15,50,0
2019-02-17,0,83,21,23,9,35,65,21,43,0
2019-02-18,0,87,23,22,14,28,53,29,50,0
2019-02-19,0,85,26,28,15,28,59,28,54,0
2019-02-20,0,82,23,30,14,24,86,24,39,0
2019-02-21,0,87,24,27,14,30,100,28,48,0
2019-02-22,0,82,22,28,13,31,79,22,42,0
2019-02-23,0,87,22,29,9,26,67,21,45,0
2019-02-24,0,71,20,26,8,25,71,18,37,0
2019-02-25,0,81,26,29,12,28,71,27,47,0
2019-02-26,0,83,26,27,13,23,62,25,44,0
2019-02-27,0,78,27,30,17,22,65,27,44,0
2019-02-28,0,88,27,28,16,30,62,26,41,0
2019-03-01,0,90,25,31,11,29,62,20,46,0
2019-03-02,0,85,23,29,7,27,62,19,31,0
2019-03-03,0,82,21,29,10,27,70,16,40,0
2019-03-04,0,79,22,24,15,31,65,24,44,0
2019-03-05,0,83,25,26,15,24,67,32,37,0
2019-03-06,0,84,26,25,16,29,56,21,43,0
2019-03-07,0,75,22,23,13,23,63,27,50,0
2019-03-08,0,78,23,21,13,29,57,18,47,0
2019-03-09,0,92,17,25,10,28,69,21,41,0
2019-03-10,0,81,24,23,10,32,64,22,36,0
2019-03-11,0,80,23,24,13,27,54,28,36,0
2019-03-12,0,83,24,27,15,25,62,24,48,0
2019-03-13,0,86,24,24,13,28,56,26,46,0
2019-03-14,0,87,24,25,13,26,54,26,45,0
2019-03-15,0,74,22,30,13,21,55,26,42,0
2019-03-16,0,82,23,29,8,27,66,19,38,0
2019-03-17,0,80,20,32,10,32,65,15,42,0
2019-03-18,0,83,27,36,13,27,57,23,48,0
2019-03-19,0,84,23,40,16,30,65,24,46,0
