date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2023-07-09,0,75,20,15,5,25,51,12,40,0
2023-07-10,0,76,18,17,8,23,45,13,54,0
2023-07-11,0,80,19,17,9,27,53,21,92,0
2023-07-12,0,79,18,17,8,22,46,12,50,0
2023-07-13,0,76,17,15,10,25,49,15,49,0
2023-07-14,0,81,19,17,8,25,49,11,47,0
2023-07-15,0,80,19,20,5,24,51,8,46,0
2023-07-16,0,75,18,17,6,28,53,10,42,0
2023-07-17,0,83,18,16,10,29,52,14,47,0
2023-07-18,0,84,18,14,10,23,51,14,46,0
2023-07-19,0,82,19,14,10,25,48,15,44,0
2023-07-20,0,79,17,15,8,29,43,13,47,0
2023-07-21,0,80,18,17,8,27,46,11,45,0
2023-07-22,0,84,22,23,7,30,51,20,100,0
2023-07-23,0,83,20,18,8,25,50,13,40,0
2023-07-24,0,76,20,18,10,23,49,15,50,0
2023-07-25,0,74,22,19,10,27,52,14,46,0
2023-07-26,0,71,21,17,10,23,49,14,50,0
2023-07-27,0,71,22,18,9,25,50,14,49,0
2023-07-28,0,76,20,21,8,25,45,12,41,0
2023-07-29,3,78,20,19,6,24,49,11,42,0
2023-07-30,2,71,19,19,5,23,54,11,41,0
2023-07-31,1,70,22,18,8,25,48,14,47,0
2023-08-01,3,77,21,14,10,22,45,16,48,0
2023-08-02,4,70,19,16,8,24,41,14,45,0
2023-08-03,3,78,21,15,10,26,47,13,43,0
2023-08-04,4,79,19,15,7,21,47,16,41,0
2023-08-05,10,86,20,20,6,27,46,12,38,0
2023-08-06,7,81,18,16,5,26,46,9,42,0
2023-08-07,4,74,18,17,10,24,39,13,48,0
2023-08-08,5,81,17,16,9,20,45,13,43,0
2023-08-09,8,81,18,16,7,24,45,11,36,0
2023-08-10,3,85,18,14,9,25,46,14,44,0
2023-08-11,3,78,17,13,8,23,44,12,42,0
2023-08-12,6,78,17,15,5,24,46,9,39,0
2023-08-13,7,74,18,13,5,24,47,11,37,0
2023-08-14,5,71,16,15,10,23,47,14,47,0
2023-08-15,5,69,16,14,10,22,42,15,46,0
2023-08-16,3,68,16,15,10,22,42,16,48,0
2023-08-17,3,72,19,14,10,25,46,17,41,0
2023-08-18,4,81,16,16,8,23,42,14,45,0
2023-08-19,11,73,18,16,5,20,45,10,34,0
2023-08-20,9,68,17,14,7,20,41,10,35,0
2023-08-21,6,72,19,17,10,26,42,14,40,0
2023-08-22,5,73,15,17,9,26,47,16,47,0
2023-08-23,3,71,18,18,10,25,42,18,45,0
2023-08-24,4,69,19,16,10,21,41,13,42,0
2023-08-25,10,68,21,18,8,22,44,13,39,0
2023-08-26,8,70,22,17,6,22,43,10,36,0
2023-08-27,9,69,20,17,5,20,46,9,34,0
2023-08-28,5,68,22,15,9,18,43,15,45,0
2023-08-29,4,71,22,16,9,25,46,18,43,0
2023-08-30,5,70,21,17,9,23,45,14,44,0
2023-08-31,3,72,22,14,9,23,42,15,43,0
2023-09-01,5,76,21,16,8,25,43,10,39,0
2023-09-02,8,69,20,15,5,23,45,10,33,0
2023-09-03,8,68,20,16,5,22,44,11,41,0
2023-09-04,5,71,20,16,9,23,42,14,49,0
2023-09-05,5,68,18,19,9,20,46,12,48,0
2023-09-06,6,69,19,14,9,26,45,17,48,0
2023-09-07,5,70,21,16,9,24,39,15,43,0
2023-09-08,15,76,19,16,6,23,45,13,39,2
2023-09-09,15,77,19,15,5,23,48,8,35,0
2023-09-10,24,71,17,13,6,21,45,11,34,0
2023-09-11,6,69,18,14,9,26,42,13,42,0
2023-09-12,4,71,17,14,9,49,46,14,43,0
2023-09-13,5,71,18,14,8,39,49,16,46,0
2023-09-14,6,73,18,16,8,26,45,14,45,0
2023-09-15,8,78,17,15,7,25,42,12,40,0
2023-09-16,11,80,18,12,6,20,45,13,35,0
2023-09-17,16,72,17,12,4,21,44,9,31,0
2023-09-18,5,75,20,14,10,26,45,18,43,0
2023-09-19,6,71,18,14,10,25,45,18,42,0
2023-09-20,7,70,18,13,8,22,36,16,38,0
2023-09-21,5,71,20,15,8,25,44,14,41,0
2023-09-22,5,77,20,15,7,23,46,14,39,0
2023-09-23,20,75,19,14,5,21,45,9,31,0
2023-09-24,10,71,21,16,5,21,46,7,30,0
2023-09-25,4,69,21,15,7,22,49,10,39,0
2023-09-26,6,71,21,15,9,24,51,14,43,2
2023-09-27,8,72,20,15,7,24,42,13,39,0
2023-09-28,5,80,22,13,10,24,53,11,45,0
2023-09-29,8,77,21,15,7,27,45,12,41,0
2023-09-30,9,76,22,17,5,24,49,9,33,0
2023-10-01,14,78,20,14,5,23,48,8,37,0
2023-10-02,5,77,21,16,8,23,44,12,44,0
2023-10-03,6,74,20,17,7,21,43,12,41,0
2023-10-04,5,72,18,14,9,21,42,14,42,0
2023-10-05,6,76,21,14,9,23,45,12,39,0
2023-10-06,6,79,22,16,7,23,47,13,37,0
2023-10-07,14,72,19,13,5,23,44,8,32,0
2023-10-08,10,65,19,12,5,23,43,8,36,0
2023-10-09,6,75,21,13,9,22,47,13,44,0
2023-10-10,6,75,17,13,9,25,42,13,43,0
2023-10-11,4,75,18,13,9,25,44,14,45,0
2023-10-12,8,71,20,12,8,23,44,11,45,0
2023-10-13,7,74,18,13,7,22,46,15,42,0
2023-10-14,18,76,20,16,5,21,44,9,36,0
2023-10-15,24,68,16,15,6,24,42,9,35,0
2023-10-16,7,66,17,18,9,22,40,13,38,0
2023-10-17,8,71,18,15,11,24,43,14,45,0
2023-10-18,4,75,17,17,8,23,41,15,44,0
2023-10-19,6,76,20,17,10,21,46,16,41,0
2023-10-20,15,84,20,17,8,22,39,9,35,0
2023-10-21,28,70,16,15,3,20,43,9,35,0
2023-10-22,10,75,19,15,5,24,46,8,35,0
2023-10-23,6,70,19,15,9,24,45,14,41,0
2023-10-24,9,77,18,15,8,22,42,13,37,0
2023-10-25,7,73,21,13,9,24,46,13,36,0
2023-10-26,6,75,23,15,7,22,43,12,40,0
2023-10-27,17,74,22,16,6,17,39,11,33,0
2023-10-28,48,63,15,13,4,20,44,7,30,0
2023-10-29,14,60,19,13,5,16,39,7,35,0
2023-10-30,8,64,19,16,8,26,41,11,40,0
2023-10-31,8,68,17,17,7,28,47,16,46,0
2023-11-01,11,67,21,17,7,23,44,12,42,0
2023-11-02,7,70,24,19,8,22,50,15,41,0
2023-11-03,7,74,23,16,8,23,46,13,39,0
2023-11-04,9,73,20,19,5,22,46,8,34,0
2023-11-05,12,66,20,16,4,22,49,10,38,0
2023-11-06,6,68,20,19,8,23,44,16,38,0
2023-11-07,8,68,19,15,8,22,45,14,44,0
2023-11-08,7,73,21,16,9,23,47,18,42,0
2023-11-09,6,74,19,18,8,23,44,18,44,0
2023-11-10,8,78,21,18,7,21,43,12,37,0
2023-11-11,11,74,21,17,5,27,47,11,38,0
2023-11-12,8,64,18,16,4,23,44,13,35,0
2023-11-13,5,66,21,18,9,24,49,23,83,0
2023-11-14,6,69,20,17,8,26,47,16,39,0
2023-11-15,9,71,21,17,7,25,42,13,43,0
2023-11-16,11,73,21,18,7,23,49,15,41,0
2023-11-17,6,75,22,21,8,29,47,11,40,0
