date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2018-12-30,0,52,26,0,0,75,0,0
2018-12-31,23,70,0,0,0,60,0,0
2019-01-01,0,60,22,0,0,60,0,0
2019-01-02,0,56,0,0,21,0,0,0
2019-01-03,0,66,22,0,28,60,0,0
2019-01-04,17,69,17,0,0,47,0,0
2019-01-05,18,97,20,0,0,45,0,35
2019-01-06,23,91,0,0,0,52,0,0
2019-01-07,22,63,22,0,21,46,0,0
2019-01-08,19,72,0,0,19,50,0,35
2019-01-09,16,54,19,0,0,53,0,0
2019-01-10,16,78,16,0,0,54,0,0
2019-01-11,17,74,20,0,0,57,0,0
2019-01-12,0,80,21,0,0,69,0,0
2019-01-13,0,80,20,0,0,62,0,0
2019-01-14,26,75,0,0,15,64,0,0
2019-01-15,20,86,0,0,0,40,0,0
2019-01-16,0,73,0,0,0,63,0,0
2019-01-17,0,67,16,0,0,57,0,0
2019-01-18,17,65,18,0,0,60,0,41
2019-01-19,0,91,18,0,0,40,0,0
2019-01-20,19,76,20,0,0,48,0,0
2019-01-21,0,80,0,0,0,60,0,0
2019-01-22,0,58,0,0,0,56,0,0
2019-01-23,0,58,20,0,0,54,0,0
2019-01-24,0,71,0,0,0,65,0,43
2019-01-25,0,62,0,0,0,51,0,0
2019-01-26,20,80,28,0,0,37,0,0
2019-01-27,0,88,19,0,20,74,0,0
2019-01-28,18,80,30,0,17,55,0,0
2019-01-29,14,69,18,0,0,47,0,0
2019-01-30,15,65,18,0,22,61,0,0
2019-01-31,0,81,25,15,0,58,0,0
2019-02-01,0,70,24,0,16,48,0,0
2019-02-02,0,64,0,0,20,49,0,0
2019-02-03,0,89,0,0,18,41,0,0
2019-02-04,0,90,0,0,19,42,0,28
2019-02-05,0,61,15,0,0,56,0,0
2019-02-06,15,81,14,0,0,39,0,27
2019-02-07,15,68,0,0,0,53,0,0
2019-02-08,0,77,23,0,0,52,0,0
2019-02-09,20,74,23,0,0,45,0,0
2019-02-10,25,100,0,0,0,37,0,0
2019-02-11,0,71,0,0,0,47,0,0
2019-02-12,0,70,0,0,19,60,0,0
2019-02-13,0,66,14,0,0,34,0,0
2019-02-14,19,76,0,0,0,74,0,0
2019-02-15,0,87,21,0,0,44,0,0
2019-02-16,34,61,0,0,0,55,0,0
2019-02-17,0,79,22,0,19,89,0,46
2019-02-18,0,71,20,0,0,70,0,0
2019-02-19,0,74,0,15,23,90,0,27
2019-02-20,0,87,14,0,0,85,0,0
2019-02-21,0,76,0,0,17,54,28,27
2019-02-22,0,83,35,0,0,69,43,0
2019-02-23,0,83,20,0,0,72,0,0
2019-02-24,0,70,0,0,20,59,0,0
2019-02-25,15,67,26,0,0,53,0,0
2019-02-26,0,71,0,0,0,30,0,0
2019-02-27,0,76,0,0,14,71,0,0
2019-02-28,0,54,0,0,0,84,0,0
2019-03-01,0,76,19,0,0,63,0,0
2019-03-02,0,66,0,0,0,93,0,0
2019-03-03,22,67,18,0,0,62,0,0
2019-03-04,0,52,0,0,15,67,0,0
2019-03-05,17,78,0,0,14,79,0,39
2019-03-06,0,69,14,0,0,43,0,0
2019-03-07,0,79,0,0,0,62,0,0
2019-03-08,0,77,0,0,19,44,0,0
2019-03-09,0,56,24,0,0,0,0,0
2019-03-10,0,73,0,0,0,70,0,0
2019-03-11,17,75,0,0,20,60,0,28
2019-03-12,14,62,19,0,0,80,0,0
2019-03-13,0,79,0,0,0,80,0,0
2019-03-14,15,69,20,0,15,75,0,0
2019-03-15,0,66,21,0,0,63,0,0
2019-03-16,0,81,0,0,0,73,0,0
2019-03-17,0,72,0,0,0,53,0,0
2019-03-18,0,77,0,0,0,64,0,0
2019-03-19,21,75,18,0,0,53,0,0
2019-03-20,0,77,22,0,18,45,0,0
2019-03-21,0,80,20,0,0,56,0,0
2019-03-22,17,62,18,0,18,86,0,0
2019-03-23,26,75,24,0,20,74,0,0
2019-03-24,0,80,18,0,0,57,0,0
2019-03-25,15,75,20,0,16,42,0,34
2019-03-26,0,73,0,0,15,65,0,0
2019-03-27,0,60,0,16,0,73,0,0
2019-03-28,0,61,0,0,0,70,0,0
2019-03-29,23,76,20,0,0,54,0,0
2019-03-30,0,86,25,0,0,73,0,0
2019-03-31,0,59,0,0,0,76,0,0
2019-04-01,0,87,0,0,0,57,0,0
2019-04-02,20,58,14,0,0,50,0,0
2019-04-03,26,65,14,0,0,87,0,46
2019-04-04,15,64,15,0,0,85,0,38
2019-04-05,0,70,0,0,19,71,0,0
2019-04-06,0,77,0,0,21,60,0,0
2019-04-07,0,70,0,0,30,84,0,0
2019-04-08,0,71,21,0,0,88,0,39
2019-04-09,19,55,0,0,0,86,0,39
2019-04-10,21,72,20,0,0,52,0,45
2019-04-11,16,86,15,0,0,62,0,0
2019-04-12,20,88,15,0,19,60,31,30
2019-04-13,0,94,23,0,0,95,0,0
2019-04-14,0,84,23,0,0,39,0,42
2019-04-15,0,97,0,0,16,54,0,0
2019-04-16,0,96,23,0,18,69,0,31
2019-04-17,0,72,21,0,0,83,0,0
2019-04-18,0,91,19,0,0,50,0,37
2019-04-19,0,87,21,0,23,0,0,0
2019-04-20,0,79,21,0,0,71,0,0
2019-04-21,0,90,25,0,24,69,0,0
2019-04-22,24,76,0,0,22,100,0,0
2019-04-23,16,96,19,0,16,75,0,35
2019-04-24,18,82,27,0,0,79,0,0
2019-04-25,0,99,17,0,0,69,0,0
2019-04-26,0,76,17,0,0,69,0,0
2019-04-27,21,65,28,0,0,42,0,0
2019-04-28,0,85,0,0,0,51,0,37
2019-04-29,20,83,0,0,24,50,0,32
2019-04-30,0,82,19,0,17,69,0,0
2019-05-01,16,99,20,0,0,76,0,35
2019-05-02,0,71,14,0,0,76,0,28
2019-05-03,0,86,19,0,0,94,0,0
2019-05-04,0,88,23,0,0,52,0,0
2019-05-05,0,91,21,0,21,62,0,0
2019-05-06,0,85,0,0,0,54,0,36
2019-05-07,0,79,0,0,16,66,0,0
2019-05-08,0,75,23,0,0,62,0,0
2019-05-09,0,58,25,0,0,69,0,29
2019-05-10,0,74,17,15,0,63,0,0
2019-05-11,0,62,0,0,0,59,0,0
2019-05-12,0,69,0,0,26,92,0,0
2019-05-13,0,73,0,0,0,61,0,0
2019-05-14,0,75,17,0,0,54,0,34
2019-05-15,0,95,0,0,0,62,0,0
2019-05-16,0,77,18,0,0,52,0,0
2019-05-17,0,68,0,0,16,60,0,0
2019-05-18,0,69,39,0,20,52,0,0
2019-05-19,0,72,25,0,20,69,0,37
2019-05-20,23,71,17,0,0,77,0,0
2019-05-21,16,87,25,0,0,59,0,0
2019-05-22,15,71,21,0,0,90,0,36
2019-05-23,0,71,0,0,15,77,0,0
2019-05-24,0,72,24,0,0,48,0,29
2019-05-25,0,50,0,0,0,38,0,0
2019-05-26,0,65,0,0,0,82,0,0
2019-05-27,0,84,0,0,0,48,0,0
2019-05-28,0,72,0,0,0,47,0,0
2019-05-29,0,84,0,0,0,72,0,35
2019-05-30,15,64,15,0,0,65,0,0
2019-05-31,0,69,18,0,0,45,0,0
2019-06-01,0,76,21,0,24,0,0,34
2019-06-02,0,75,27,0,18,73,0,0
2019-06-03,18,64,20,0,0,67,0,34
2019-06-04,0,68,19,0,15,56,42,31
2019-06-05,14,78,0,0,0,91,0,0
2019-06-06,0,58,0,0,15,58,0,30
2019-06-07,0,71,15,0,0,30,0,0
2019-06-08,0,87,0,0,0,46,0,0
2019-06-09,0,74,0,0,0,79,0,0
2019-06-10,0,74,14,0,0,55,0,32
2019-06-11,24,71,17,0,0,60,0,29
2019-06-12,0,73,19,0,0,66,0,38
2019-06-13,0,77,22,0,0,90,0,0
2019-06-14,0,69,18,0,0,43,0,0
2019-06-15,0,78,0,0,0,56,0,0
2019-06-16,0,92,0,0,0,51,0,0
2019-06-17,0,72,0,0,0,76,0,0
2019-06-18,0,71,19,0,0,73,0,30
2019-06-19,0,66,22,0,15,54,0,0
2019-06-20,0,50,16,0,0,44,0,0
2019-06-21,0,64,24,0,16,44,0,0
2019-06-22,0,73,22,0,0,72,0,0
2019-06-23,0,74,22,0,0,56,0,0
2019-06-24,17,59,15,0,0,66,0,0
2019-06-25,0,74,0,0,17,49,0,0
2019-06-26,0,68,15,0,0,71,0,0
