date,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate
2019-07-01,22,38,0,88,34,73,0,0,0,52
2019-07-02,23,35,0,82,35,52,0,0,0,44
2019-07-03,23,40,0,83,31,75,0,0,0,47
2019-07-04,20,41,0,83,30,48,0,0,0,66
2019-07-05,21,32,0,78,25,49,0,0,0,56
2019-07-06,17,29,0,85,24,88,0,0,0,0
2019-07-07,23,43,0,89,29,63,0,0,0,45
2019-07-08,25,40,0,93,36,56,0,0,0,63
2019-07-09,25,45,0,87,37,51,0,0,0,73
2019-07-10,20,41,0,84,28,54,0,0,0,72
2019-07-11,22,39,0,88,31,61,0,0,0,50
2019-07-12,21,34,0,88,29,51,0,0,0,48
2019-07-13,19,33,0,98,29,67,0,0,0,47
2019-07-14,19,35,0,88,29,58,0,0,0,52
2019-07-15,22,36,0,86,30,84,0,0,0,51
2019-07-16,21,39,0,90,31,78,0,0,0,54
2019-07-17,19,35,0,79,34,81,0,0,0,53
2019-07-18,17,37,0,86,27,59,0,0,0,68
2019-07-19,19,32,0,85,28,56,0,0,0,59
2019-07-20,15,39,0,82,31,41,0,0,0,56
2019-07-21,21,38,0,94,29,65,0,0,0,49
2019-07-22,21,50,0,93,35,67,0,0,0,80
2019-07-23,20,43,0,86,35,65,0,0,0,58
2019-07-24,19,39,0,98,36,90,0,0,0,67
2019-07-25,17,39,0,79,29,70,0,0,0,71
2019-07-26,18,31,0,75,25,70,0,0,0,68
2019-07-27,16,34,0,89,24,65,0,0,0,75
2019-07-28,24,39,0,95,23,63,0,0,0,66
2019-07-29,18,49,0,79,30,70,0,0,0,60
2019-07-30,17,38,0,78,36,91,0,0,0,53
2019-07-31,20,37,0,78,34,72,0,0,0,52
2019-08-01,19,38,0,77,35,61,0,0,0,41
2019-08-02,20,26,0,78,24,38,0,0,0,41
2019-08-03,20,38,0,83,24,51,0,0,0,41
2019-08-04,20,37,0,82,27,61,0,0,0,47
2019-08-05,21,38,0,87,31,55,0,0,0,50
2019-08-06,21,35,0,88,28,54,0,0,0,52
2019-08-07,21,32,0,82,28,61,0,0,0,60
2019-08-08,18,31,0,72,29,40,0,0,0,42
2019-08-09,13,28,0,87,20,56,0,0,0,38
2019-08-10,19,29,0,86,25,61,0,0,0,46
2019-08-11,21,36,0,96,29,47,0,0,0,61
2019-08-12,22,44,0,90,33,76,0,0,0,74
2019-08-13,19,41,0,85,27,43,0,0,0,59
2019-08-14,19,41,0,88,35,30,0,0,0,50
2019-08-15,22,33,0,92,27,63,0,0,0,46
2019-08-16,20,39,0,75,26,60,0,0,0,68
2019-08-17,19,33,0,96,28,45,0,0,0,36
2019-08-18,21,47,0,95,35,54,0,0,0,58
2019-08-19,23,43,0,92,32,68,0,0,0,34
2019-08-20,21,40,0,91,30,81,0,0,0,85
2019-08-21,22,36,0,81,36,61,0,0,0,79
2019-08-22,24,39,0,86,30,29,0,0,0,53
2019-08-23,20,38,0,72,25,71,0,0,0,40
2019-08-24,19,31,0,75,26,0,34,0,0,54
2019-08-25,19,36,0,95,26,66,0,0,0,36
2019-08-26,21,33,0,77,31,61,0,0,0,54
2019-08-27,19,34,0,87,27,82,0,0,0,49
2019-08-28,18,33,0,73,25,38,0,0,0,38
2019-08-29,23,42,0,68,27,81,0,0,0,53
2019-08-30,21,32,0,74,21,49,0,0,0,44
2019-08-31,12,26,0,71,24,64,0,0,0,61
2019-09-01,20,31,0,88,29,59,0,0,0,55
2019-09-02,19,32,4,71,28,49,0,0,0,66
2019-09-03,18,39,0,79,26,48,0,0,0,40
2019-09-04,19,34,0,80,30,54,0,0,0,49
2019-09-05,20,30,0,74,27,57,0,0,0,45
2019-09-06,16,31,0,71,20,47,0,0,0,64
2019-09-07,16,25,0,80,20,48,0,0,0,37
2019-09-08,16,40,0,93,26,37,0,0,0,45
2019-09-09,20,42,0,81,29,60,0,0,0,75
2019-09-10,15,37,0,89,32,45,0,0,0,54
2019-09-11,18,40,0,73,31,63,0,0,0,49
2019-09-12,16,34,0,81,32,54,0,0,0,51
2019-09-13,18,33,0,83,24,51,0,0,0,51
2019-09-14,15,32,0,77,25,77,0,0,0,50
2019-09-15,19,35,0,100,32,46,0,0,0,56
2019-09-16,19,43,0,78,32,75,0,0,0,72
2019-09-17,25,39,0,86,33,56,0,0,0,73
2019-09-18,15,35,0,76,25,80,0,0,0,73
2019-09-19,18,36,0,91,28,58,0,0,0,44
2019-09-20,14,29,0,81,31,45,0,0,0,69
2019-09-21,17,30,0,75,29,59,0,0,0,54
2019-09-22,15,31,0,98,25,49,0,0,0,0
2019-09-23,21,41,0,87,29,51,0,0,0,39
2019-09-24,17,33,0,98,32,79,0,0,0,33
2019-09-25,21,38,0,74,26,68,0,0,0,47
2019-09-26,22,38,0,82,28,60,0,0,0,50
2019-09-27,13,32,0,78,24,57,0,0,0,64
2019-09-28,14,31,0,91,23,79,0,0,0,45
2019-09-29,14,37,0,87,28,75,0,0,0,36
2019-09-30,18,43,0,86,34,73,0,0,0,40
2019-10-01,21,37,0,85,31,62,0,0,0,51
2019-10-02,19,35,0,76,26,51,0,0,0,56
2019-10-03,21,34,0,78,31,40,0,0,0,45
2019-10-04,12,33,0,80,18,39,0,0,0,48
2019-10-05,15,29,0,81,22,49,0,0,0,27
2019-10-06,17,42,0,92,26,62,0,0,0,39
2019-10-07,27,41,0,90,29,48,0,0,0,53
2019-10-08,20,37,0,87,29,41,0,0,0,43
2019-10-09,20,38,0,84,29,49,0,0,0,56
2019-10-10,23,36,0,82,31,74,0,0,0,40
2019-10-11,19,36,0,84,29,67,0,0,0,62
2019-10-12,21,33,0,90,25,56,0,0,0,0
2019-10-13,19,34,0,96,27,66,0,0,0,0
2019-10-14,19,43,0,84,36,67,0,0,0,41
2019-10-15,22,40,0,90,33,79,0,0,0,65
2019-10-16,21,36,0,83,33,50,0,0,0,36
2019-10-17,15,37,0,80,33,62,0,0,0,64
2019-10-18,16,36,0,78,25,58,0,0,0,43
2019-10-19,15,31,0,88,28,66,0,0,0,35
2019-10-20,17,34,0,81,25,61,0,0,0,37
2019-10-21,20,43,0,85,34,58,0,0,0,54
2019-10-22,18,40,0,82,30,54,0,0,0,54
2019-10-23,19,36,0,82,30,53,0,0,0,67
2019-10-24,22,40,0,87,29,64,0,0,0,51
2019-10-25,16,31,0,71,20,90,0,0,0,41
2019-10-26,14,29,0,72,23,57,0,0,0,45
2019-10-27,16,34,0,74,20,58,0,0,0,0
2019-10-28,18,35,0,79,30,100,0,0,0,55
2019-10-29,17,34,0,78,30,68,0,0,0,38
2019-10-30,15,34,0,76,30,72,0,0,0,46
2019-10-31,18,41,0,76,28,68,0,0,0,37
2019-11-01,16,31,0,68,23,54,0,0,0,65
2019-11-02,12,24,0,61,17,57,0,0,0,42
2019-11-03,14,39,0,87,30,73,0,0,0,29
2019-11-04,16,43,0,84,35,62,0,0,0,48
2019-11-05,18,37,0,81,30,76,0,0,0,60
2019-11-06,18,38,0,80,32,60,0,0,0,61
2019-11-07,16,34,0,72,28,52,0,0,0,54
2019-11-08,15,33,0,86,31,40,0,0,0,52
2019-11-09,16,39,0,87,26,54,0,0,0,50
2019-11-10,17,35,0,93,26,45,0,0,0,35
2019-11-11,20,33,0,81,34,53,0,0,0,34
2019-11-12,19,45,0,85,38,65,0,0,0,46
2019-11-13,23,37,0,91,34,65,0,0,0,43
2019-11-14,21,42,0,76,31,53,0,0,0,46
2019-11-15,15,36,0,85,26,59,0,0,0,63
2019-11-16,16,38,0,84,31,61,0,0,0,55
2019-11-17,20,40,0,95,34,51,0,0,0,46
2019-11-18,20,40,0,91,29,80,0,0,0,80
2019-11-19,27,46,0,93,37,94,0,0,0,49
2019-11-20,17,37,0,85,35,64,0,0,0,63
2019-11-21,19,38,0,87,29,74,0,0,0,41
2019-11-22,13,34,0,72,23,79,0,0,0,38
2019-11-23,17,36,0,83,23,59,0,0,0,35
2019-11-24,18,38,0,88,29,74,0,0,0,44
2019-11-25,20,35,0,73,36,77,0,0,0,57
2019-11-26,19,35,0,76,29,82,0,0,0,61
2019-11-27,18,34,0,64,28,87,0,0,0,34
2019-11-28,13,28,0,62,22,59,0,0,0,31
2019-11-29,10,27,0,46,19,51,0,0,0,41
2019-11-30,15,31,0,66,24,57,0,0,0,33
2019-12-01,15,33,0,78,24,68,0,0,0,33
2019-12-02,16,37,0,65,30,85,0,0,0,44
2019-12-03,18,41,0,74,30,49,0,0,0,50
2019-12-04,19,31,0,79,31,45,0,0,0,66
2019-12-05,13,31,0,76,28,36,0,0,0,64
2019-12-06,14,29,0,65,28,42,0,0,0,51
2019-12-07,12,32,0,68,20,40,0,0,0,0
2019-12-08,15,40,0,85,25,67,0,0,0,46
2019-12-09,16,34,0,73,30,63,0,0,0,46
2019-12-10,17,30,0,71,32,55,0,0,0,41
2019-12-11,18,32,0,68,32,50,0,0,0,45
2019-12-12,18,34,0,76,27,47,0,0,0,39
2019-12-13,12,29,0,56,26,43,0,0,0,36
2019-12-14,12,28,0,60,22,47,0,0,0,0
2019-12-15,14,25,0,84,24,55,0,0,0,0
2019-12-16,11,36,0,72,23,68,0,0,0,0
2019-12-17,13,33,0,77,28,48,0,0,0,41
2019-12-18,19,33,0,80,31,61,0,0,0,59
2019-12-19,15,29,0,70,29,67,0,0,0,48
2019-12-20,11,29,0,60,25,63,0,0,0,29
2019-12-21,11,29,0,65,21,38,0,0,0,55
2019-12-22,8,26,0,77,22,62,0,0,0,41
2019-12-23,14,29,0,73,19,37,0,0,0,68
2019-12-24,10,29,0,58,21,48,0,0,0,0
2019-12-25,11,19,0,71,15,0,0,0,0,39
2019-12-26,13,29,0,84,30,72,0,0,0,0
2019-12-27,14,33,0,88,34,55,0,0,0,0
2019-12-28,16,32,0,96,28,68,0,0,0,0
2019-12-29,17,38,0,90,34,98,0,0,0,52
2019-12-30,18,36,0,94,35,79,0,0,0,72
2019-12-31,11,28,0,65,21,55,0,0,0,43
2020-01-01,16,38,0,90,28,69,0,0,0,0
