date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2018-12-30,31,61,0,0,0,0,0,0,29,28
2018-12-31,26,71,0,0,0,0,0,0,26,44
2019-01-01,28,59,0,0,0,0,0,0,40,41
2019-01-02,35,71,0,0,0,0,0,0,45,68
2019-01-03,28,83,0,0,0,0,0,0,58,49
2019-01-04,28,77,0,0,0,0,0,0,67,53
2019-01-05,27,75,0,0,0,0,0,0,20,29
2019-01-06,34,70,0,0,0,0,0,0,31,36
2019-01-07,30,75,0,0,0,0,0,0,62,64
2019-01-08,26,73,0,0,0,0,0,0,54,72
2019-01-09,30,76,0,0,0,0,0,19,64,63
2019-01-10,24,85,0,0,0,0,0,0,50,80
2019-01-11,16,66,0,0,0,0,0,0,43,63
2019-01-12,21,56,0,0,0,0,0,0,31,35
2019-01-13,24,66,0,0,0,0,0,0,34,28
2019-01-14,29,80,0,0,0,0,0,18,65,70
2019-01-15,26,83,0,0,0,0,0,17,53,63
2019-01-16,29,62,0,0,0,0,0,0,58,75
2019-01-17,24,87,0,0,0,0,0,0,62,77
2019-01-18,32,64,0,0,0,0,0,0,49,71
2019-01-19,25,79,0,0,0,0,0,0,32,30
2019-01-20,27,73,0,0,0,0,0,0,29,25
2019-01-21,16,76,0,0,0,0,0,0,53,68
2019-01-22,32,76,0,0,0,0,0,0,49,77
2019-01-23,25,80,0,0,0,0,0,22,50,79
2019-01-24,33,74,0,0,0,0,0,0,51,61
2019-01-25,29,69,0,0,0,0,0,0,51,65
2019-01-26,24,87,0,0,0,0,0,0,32,44
2019-01-27,31,72,0,0,0,0,0,0,25,26
2019-01-28,40,79,0,0,0,0,0,0,53,70
2019-01-29,25,73,0,0,0,0,0,0,49,53
2019-01-30,27,57,0,0,0,0,0,0,45,70
2019-01-31,20,72,0,0,0,0,0,0,45,73
2019-02-01,18,71,0,0,0,0,0,0,38,48
2019-02-02,24,68,0,0,0,0,0,0,27,36
2019-02-03,30,67,0,0,0,0,0,0,48,29
2019-02-04,27,84,0,0,0,0,0,0,59,76
2019-02-05,33,74,0,0,0,0,0,15,49,80
2019-02-06,29,79,0,0,0,0,0,0,53,64
2019-02-07,24,79,0,0,0,0,0,0,49,74
2019-02-08,29,67,0,0,0,0,0,0,51,59
2019-02-09,31,71,0,0,0,0,0,0,29,37
2019-02-10,29,75,0,0,0,0,0,0,32,47
2019-02-11,27,78,0,0,0,0,0,0,51,71
2019-02-12,34,71,0,0,0,0,0,0,61,76
2019-02-13,32,70,0,0,0,0,0,0,44,77
2019-02-14,26,71,0,0,0,0,0,0,34,57
