date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2018-12-30,0,8,0,83,23,74,0,0,0,38
2018-12-31,0,9,0,56,28,56,0,0,0,27
2019-01-01,0,11,0,58,25,64,0,0,0,26
2019-01-02,0,14,9,72,28,60,0,0,0,49
2019-01-03,0,9,5,69,29,79,0,0,0,27
2019-01-04,0,12,9,65,26,80,17,0,0,48
2019-01-05,0,11,6,77,30,68,0,0,0,53
2019-01-06,0,14,6,68,25,76,0,0,0,47
2019-01-07,0,14,7,64,23,62,19,0,0,40
2019-01-08,0,9,0,59,24,72,0,0,0,39
2019-01-09,0,8,0,62,25,68,0,0,0,35
2019-01-10,0,7,7,61,26,66,20,0,0,29
2019-01-11,0,10,8,61,25,70,0,0,0,37
2019-01-12,0,12,7,60,30,75,0,0,0,66
2019-01-13,0,17,0,64,28,65,0,0,0,53
2019-01-14,0,9,6,60,30,76,0,0,0,40
2019-01-15,0,9,5,64,28,75,23,0,0,35
2019-01-16,0,10,0,72,25,52,17,0,0,34
2019-01-17,0,11,5,64,28,57,18,0,0,30
2019-01-18,0,8,9,62,28,84,0,0,0,24
2019-01-19,0,13,0,72,24,71,20,0,0,45
2019-01-20,0,16,6,84,31,63,0,0,0,58
2019-01-21,0,10,6,80,28,67,24,0,0,30
2019-01-22,0,10,7,68,26,67,18,0,0,31
2019-01-23,0,13,9,71,24,63,22,0,0,28
2019-01-24,0,11,4,72,24,60,14,0,0,31
2019-01-25,0,17,4,66,16,61,15,0,0,27
2019-01-26,0,10,6,83,33,72,0,0,0,41
2019-01-27,0,7,0,65,31,64,0,0,0,38
2019-01-28,0,11,5,73,23,56,19,0,0,48
2019-01-29,0,12,6,68,24,65,18,0,0,41
2019-01-30,0,13,0,64,23,47,0,0,0,30
2019-01-31,0,15,4,72,25,40,15,0,0,27
2019-02-01,0,9,0,60,20,41,0,0,0,33
2019-02-02,0,14,9,78,27,63,0,0,0,58
2019-02-03,0,11,6,71,20,53,0,0,0,46
2019-02-04,0,13,6,69,22,54,17,0,0,36
2019-02-05,0,10,0,66,24,42,17,0,0,40
2019-02-06,0,12,6,59,28,44,0,0,0,42
2019-02-07,0,12,0,57,21,57,0,0,0,29
2019-02-08,0,9,7,67,24,74,0,0,0,46
2019-02-09,0,10,0,75,32,62,0,0,0,51
2019-02-10,0,12,0,72,24,60,0,0,17,47
2019-02-11,0,8,0,65,26,59,0,0,0,40
2019-02-12,0,8,5,56,25,73,0,0,0,43
2019-02-13,0,11,0,62,21,64,0,0,0,27
2019-02-14,0,7,0,55,20,53,0,0,0,33
2019-02-15,0,8,0,60,16,60,0,0,0,28
2019-02-16,0,12,8,76,22,59,0,0,0,40
2019-02-17,0,14,6,72,24,67,0,0,0,47
2019-02-18,0,7,8,73,22,47,0,0,0,37
2019-02-19,0,9,4,70,17,57,15,0,0,33
2019-02-20,0,8,0,66,22,59,0,0,0,44
2019-02-21,0,7,4,70,19,45,0,0,0,36
2019-02-22,0,6,0,71,19,66,18,0,0,31
2019-02-23,0,13,5,80,28,69,0,0,0,36
2019-02-24,0,10,5,59,24,66,0,0,0,47
2019-02-25,0,13,6,65,24,60,20,0,0,38
2019-02-26,0,9,5,70,22,58,19,0,0,33
2019-02-27,0,10,5,73,20,55,19,0,0,36
2019-02-28,0,9,5,72,24,65,16,0,0,35
2019-03-01,0,7,5,65,24,48,0,0,0,30
2019-03-02,0,14,7,71,26,74,28,0,0,34
2019-03-03,0,9,0,71,26,64,0,0,0,42
2019-03-04,0,10,4,59,22,54,17,0,0,47
2019-03-05,0,8,5,60,19,53,16,0,0,35
2019-03-06,0,7,5,57,19,58,0,0,0,35
2019-03-07,0,10,6,62,21,51,14,0,0,25
2019-03-08,0,9,4,59,20,66,19,0,0,32
2019-03-09,0,14,6,59,19,61,0,0,0,39
2019-03-10,0,13,0,68,16,55,0,0,0,43
2019-03-11,0,11,0,62,24,73,0,0,0,53
2019-03-12,0,8,0,65,20,49,19,0,0,22
2019-03-13,0,8,7,61,21,38,17,0,0,34
2019-03-14,0,9,0,62,18,61,0,0,0,40
2019-03-15,0,11,5,55,18,62,16,0,0,39
2019-03-16,0,8,5,71,23,55,0,0,0,38
2019-03-17,0,16,0,55,29,69,0,0,0,28
2019-03-18,0,9,5,64,24,63,20,0,0,33
2019-03-19,0,10,5,60,23,49,19,0,0,26
2019-03-20,0,10,7,65,23,61,35,0,0,30
2019-03-21,0,11,6,78,27,85,0,0,0,56
2019-03-22,0,12,5,82,23,61,0,0,0,31
2019-03-23,0,8,0,78,24,71,0,0,0,45
2019-03-24,0,8,6,62,27,52,0,0,0,54
2019-03-25,0,11,5,72,22,60,15,0,0,28
2019-03-26,0,13,5,67,24,72,15,0,0,31
2019-03-27,0,15,0,58,22,69,0,0,0,21
2019-03-28,0,12,5,72,21,51,14,0,0,45
2019-03-29,0,9,7,63,21,63,28,0,0,56
2019-03-30,0,11,7,79,25,53,0,0,0,55
2019-03-31,0,10,0,74,21,66,0,0,0,50
2019-04-01,0,10,0,57,18,56,0,0,0,40
