date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2018-12-30,0,0,28,24,0,0,0,0,0,0
2018-12-31,0,0,39,29,0,0,0,0,0,0
2019-01-01,0,0,27,55,0,0,0,0,0,0
2019-01-02,0,0,26,46,0,0,0,0,0,0
2019-01-03,0,0,38,23,0,0,0,35,0,0
2019-01-04,0,0,30,34,0,0,0,33,0,0
2019-01-05,0,0,29,35,0,0,0,0,0,0
2019-01-06,0,0,27,21,0,0,0,0,0,0
2019-01-07,0,0,31,18,0,0,0,37,0,0
2019-01-08,0,0,29,25,0,0,0,37,0,0
2019-01-09,0,0,31,38,0,0,0,0,0,0
2019-01-10,0,0,14,15,0,0,0,35,0,0
2019-01-11,0,0,32,35,0,0,0,0,0,0
2019-01-12,0,0,18,25,0,0,0,0,0,0
2019-01-13,0,0,16,19,0,0,0,0,0,0
2019-01-14,0,0,22,12,0,0,0,0,0,0
2019-01-15,0,0,25,19,0,0,0,28,0,0
2019-01-16,0,0,29,42,0,0,0,34,0,0
2019-01-17,0,0,28,26,0,0,0,38,0,0
2019-01-18,0,0,43,38,0,0,0,0,0,0
2019-01-19,0,0,21,23,0,0,0,0,0,0
2019-01-20,0,0,14,28,0,0,0,0,0,0
2019-01-21,0,0,29,19,0,0,0,45,0,0
2019-01-22,0,0,24,20,0,0,0,40,0,0
2019-01-23,0,0,28,52,0,0,0,41,0,0
2019-01-24,0,0,26,28,0,0,0,41,0,0
2019-01-25,0,0,30,57,0,0,0,37,0,0
2019-01-26,0,0,24,33,0,0,0,0,0,0
2019-01-27,0,0,28,30,0,0,0,0,0,0
2019-01-28,0,0,23,19,0,0,0,44,0,0
2019-01-29,0,0,25,25,0,0,0,44,0,0
2019-01-30,0,0,36,71,0,0,0,33,0,0
2019-01-31,0,0,26,41,0,0,0,32,0,0
2019-02-01,0,0,27,55,0,0,0,0,0,0
2019-02-02,0,0,23,40,0,0,0,0,0,0
2019-02-03,0,0,28,33,0,0,0,0,0,0
2019-02-04,0,0,28,14,0,0,0,35,0,0
2019-02-05,0,0,17,32,0,0,0,37,0,0
2019-02-06,0,0,24,59,0,0,0,28,0,0
2019-02-07,0,0,30,30,0,0,0,39,0,0
2019-02-08,0,0,23,38,0,0,0,32,0,0
2019-02-09,0,0,16,35,0,0,0,50,0,0
2019-02-10,0,0,23,36,0,0,0,0,0,0
