date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2020-01-02,8,4,3,24,4,0,0,30,0,76
2020-01-03,10,5,5,14,5,0,0,36,0,62
2020-01-04,48,27,24,14,6,0,0,32,0,88
2020-01-05,12,5,10,10,4,0,0,21,0,85
2020-01-06,9,4,5,6,4,0,0,22,0,56
2020-01-07,13,25,25,8,5,0,0,21,0,66
2020-01-08,46,9,8,8,5,0,0,16,0,63
2020-01-09,21,5,5,7,5,0,0,18,0,55
2020-01-10,12,5,5,12,4,0,0,20,0,66
2020-01-11,15,6,34,46,5,0,0,22,0,97
2020-01-12,69,6,9,32,6,0,0,19,0,96
2020-01-13,15,5,5,9,4,0,0,17,0,60
2020-01-14,10,7,8,6,4,0,0,25,0,68
2020-01-15,12,44,65,9,6,0,0,24,0,70
2020-01-16,12,14,17,9,5,0,0,19,0,63
2020-01-17,11,6,5,9,4,0,0,22,0,67
2020-01-18,56,36,8,37,5,0,0,22,0,97
2020-01-19,12,9,42,38,4,0,0,21,0,97
2020-01-20,8,5,7,13,4,0,0,19,0,64
2020-01-21,8,4,4,18,4,4,0,21,0,65
2020-01-22,8,5,4,20,4,3,0,21,0,70
2020-01-23,8,4,4,19,4,4,0,17,0,69
2020-01-24,9,6,4,12,4,0,0,19,0,62
2020-01-25,50,36,22,16,5,0,0,36,0,78
2020-01-26,13,7,8,11,4,4,0,18,0,85
2020-01-27,10,5,5,6,4,0,0,25,0,61
2020-01-28,9,5,4,6,4,0,0,23,0,58
2020-01-29,9,5,4,11,4,0,0,19,0,76
2020-01-30,8,5,5,12,4,0,0,29,0,68
2020-01-31,9,7,5,9,5,0,0,32,0,72
2020-02-01,14,37,30,39,5,0,0,30,0,100
2020-02-02,11,12,9,33,4,0,0,30,0,82
2020-02-03,8,5,4,10,4,0,0,33,0,54
2020-02-04,7,4,4,6,4,0,0,35,0,50
2020-02-05,7,4,4,6,4,0,0,34,0,48
2020-02-06,7,4,4,6,4,0,0,37,0,47
2020-02-07,7,5,4,7,4,0,0,68,0,46
2020-02-08,54,8,31,19,5,0,0,36,0,69
2020-02-09,13,60,12,16,4,0,0,26,0,67
2020-02-10,8,8,4,7,4,0,0,17,0,45
2020-02-11,7,4,3,5,4,0,0,16,0,40
2020-02-12,7,4,3,5,3,0,0,23,0,41
2020-02-13,7,4,3,5,4,0,0,22,0,40
2020-02-14,8,4,3,9,3,0,0,29,0,46
2020-02-15,61,8,36,34,5,0,0,31,0,87
2020-02-16,16,47,7,32,4,0,0,36,0,67
2020-02-17,8,7,4,16,3,0,0,26,0,58
2020-02-18,7,4,5,13,3,0,0,21,0,57
2020-02-19,7,4,30,9,4,0,0,19,0,46
2020-02-20,7,4,11,8,3,0,0,22,0,57
2020-02-21,8,3,4,8,3,0,0,32,0,48
2020-02-22,80,4,7,32,4,0,0,27,0,79
2020-02-23,9,3,21,30,3,0,0,28,0,79
2020-02-24,6,3,5,14,3,0,0,25,0,49
2020-02-25,5,3,3,10,3,0,0,23,0,54
2020-02-26,5,3,3,5,3,0,0,24,0,56
2020-02-27,6,4,3,5,2,0,0,18,0,55
2020-02-28,9,7,5,10,3,0,0,25,0,54
2020-02-29,100,68,40,38,5,0,0,29,0,73
2020-03-01,15,8,15,30,4,0,0,22,0,85
2020-03-02,10,4,6,10,3,0,0,19,0,53
2020-03-03,7,3,4,7,3,0,0,15,0,52
2020-03-04,6,3,4,7,3,0,0,18,0,51
2020-03-05,6,3,4,6,3,0,0,17,0,50
2020-03-06,8,4,5,8,3,0,0,16,0,45
2020-03-07,62,34,67,36,5,0,0,23,0,74
2020-03-08,18,6,12,39,3,0,0,15,0,78
2020-03-09,7,3,6,14,3,0,0,14,0,53
2020-03-10,5,3,5,9,3,0,0,12,0,52
2020-03-11,7,3,17,9,4,0,0,12,0,62
2020-03-12,7,3,8,8,3,0,0,16,0,61
2020-03-13,5,3,5,12,3,0,0,9,0,54
2020-03-14,7,3,48,11,4,0,0,13,0,55
2020-03-15,5,3,10,8,3,0,0,10,0,45
2020-03-16,5,6,7,5,3,0,0,10,0,35
2020-03-17,5,4,5,4,2,0,0,9,0,35
2020-03-18,6,2,3,4,3,0,0,7,0,37
2020-03-19,4,2,2,3,3,0,0,6,0,31
2020-03-20,4,2,2,2,3,0,0,5,0,32
2020-03-21,4,2,2,3,2,4,0,0,0,34
2020-03-22,4,2,2,2,2,0,0,6,0,30
2020-03-23,3,2,1,1,2,0,0,4,0,25
2020-03-24,4,2,2,1,2,0,0,7,0,30
2020-03-25,3,2,2,1,2,0,0,4,0,23
2020-03-26,3,2,2,1,2,0,0,0,0,28
2020-03-27,3,1,2,1,2,0,0,0,0,28
2020-03-28,3,2,2,1,2,3,0,0,0,31
2020-03-29,2,1,2,1,2,0,0,0,0,30
2020-03-30,3,2,2,1,2,0,0,0,0,27
2020-03-31,3,2,2,1,2,0,0,0,0,30
2020-04-01,3,2,1,2,3,0,0,3,0,30
2020-04-02,3,2,2,3,2,0,0,0,0,29
2020-04-03,3,2,2,2,2,3,0,4,0,27
2020-04-04,3,2,2,2,2,0,0,0,0,33
2020-04-05,3,2,2,2,2,0,0,0,0,32
2020-04-06,4,2,1,1,2,0,0,0,0,27
2020-04-07,3,2,1,1,2,0,0,0,0,30
2020-04-08,3,2,2,1,2,0,0,0,0,27
2020-04-09,3,2,2,1,2,0,0,0,0,22
2020-04-10,3,2,2,1,2,0,0,0,0,28
2020-04-11,3,1,2,1,2,0,0,0,0,30
2020-04-12,3,2,2,1,2,0,0,0,0,33
2020-04-13,4,2,2,1,2,0,0,3,0,30
2020-04-14,3,2,2,1,2,0,0,0,0,32
2020-04-15,3,2,2,1,2,0,0,0,0,27
2020-04-16,3,1,1,1,2,0,0,0,0,31
2020-04-17,3,2,1,1,2,4,0,0,0,28
2020-04-18,3,2,2,1,2,0,0,0,0,33
2020-04-19,3,2,1,1,2,0,0,0,0,28
2020-04-20,3,2,1,1,2,0,0,0,0,25
2020-04-21,3,2,1,1,2,0,0,0,0,28
2020-04-22,3,2,2,1,2,0,0,0,0,29
2020-04-23,3,1,1,1,2,0,0,3,0,29
2020-04-24,3,1,1,1,2,0,0,0,0,28
2020-04-25,4,2,1,2,2,0,0,4,0,32
2020-04-26,3,1,1,2,2,0,0,0,0,39
2020-04-27,3,2,2,1,2,0,0,0,0,26
2020-04-28,3,2,1,1,2,0,0,4,0,28
2020-04-29,3,1,2,1,2,0,0,0,0,27
2020-04-30,3,1,1,1,2,0,0,0,0,28
2020-05-01,3,2,1,1,2,0,0,4,0,26
2020-05-02,3,2,1,1,2,0,0,5,0,31
2020-05-03,2,1,1,1,1,4,0,0,0,35
2020-05-04,3,2,1,1,2,0,0,3,0,23
2020-05-05,3,2,1,1,2,0,0,3,0,31
2020-05-06,3,1,1,1,2,0,0,4,0,30
2020-05-07,3,2,2,1,2,0,0,4,0,27
2020-05-08,3,2,1,1,2,0,0,0,0,30
2020-05-09,3,1,2,1,2,0,0,0,0,29
2020-05-10,3,2,2,2,2,0,0,0,0,34
2020-05-11,3,1,2,2,2,0,0,0,0,28
2020-05-12,3,1,1,2,2,3,0,3,0,27
2020-05-13,3,2,2,1,2,0,0,0,0,29
2020-05-14,3,1,2,1,2,0,0,0,0,27
2020-05-15,3,1,1,1,2,0,0,0,0,30
2020-05-16,3,2,2,2,2,3,0,3,0,46
2020-05-17,3,1,1,2,2,0,0,0,0,35
2020-05-18,3,2,1,1,2,0,0,0,0,33
2020-05-19,3,1,1,1,2,0,0,0,0,28
2020-05-20,3,1,1,1,2,0,0,0,0,27
