date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2019-07-01,0,19,1,0,0,0,56,9,0
2019-07-02,0,42,1,0,0,0,55,11,0
2019-07-03,0,47,1,0,0,0,74,11,0
2019-07-04,0,22,1,0,0,0,84,10,0
2019-07-05,0,49,0,0,0,0,54,11,0
2019-07-06,0,53,0,0,0,0,86,11,0
2019-07-07,0,23,1,0,0,0,82,11,0
2019-07-08,0,20,0,0,0,0,57,9,0
2019-07-09,0,42,0,0,0,0,56,9,0
2019-07-10,0,45,0,0,0,0,72,8,0
2019-07-11,0,22,0,0,0,0,76,10,0
2019-07-12,0,46,1,0,0,0,50,9,0
2019-07-13,0,56,1,0,0,0,90,12,0
2019-07-14,0,23,1,0,0,0,77,10,0
2019-07-15,0,20,0,0,0,0,51,9,0
2019-07-16,0,44,1,0,0,0,53,9,0
2019-07-17,0,53,0,0,0,0,74,9,0
2019-07-18,0,23,1,0,0,0,75,9,0
2019-07-19,0,48,1,0,0,0,50,11,0
2019-07-20,0,54,0,0,0,0,83,12,0
2019-07-21,0,25,1,0,0,0,86,12,0
2019-07-22,0,20,1,0,0,0,55,8,0
2019-07-23,0,41,0,0,0,0,52,9,0
2019-07-24,0,48,1,0,0,0,71,9,0
2019-07-25,0,23,1,0,0,0,73,9,0
2019-07-26,0,56,0,0,0,0,52,9,0
2019-07-27,0,60,1,0,0,0,87,12,0
2019-07-28,0,27,0,0,0,0,100,12,0
2019-07-29,0,24,0,0,0,0,59,8,0
2019-07-30,0,51,0,0,0,0,59,8,0
2019-07-31,0,58,1,0,0,0,75,9,0
2019-08-01,0,25,1,0,0,0,72,9,0
2019-08-02,0,62,0,0,0,0,56,10,0
2019-08-03,0,66,0,0,0,0,99,12,0
2019-08-04,0,26,0,0,0,0,82,11,0
2019-08-05,0,25,0,0,0,0,59,9,0
2019-08-06,0,57,0,0,0,0,71,8,0
2019-08-07,0,73,0,0,0,0,78,9,0
2019-08-08,0,29,0,0,0,0,75,10,0
2019-08-09,0,67,0,0,0,0,59,12,0
2019-08-10,0,74,1,0,0,0,86,12,0
2019-08-11,0,28,1,0,0,0,84,10,0
2019-08-12,0,27,0,0,0,0,57,8,0
2019-08-13,0,61,1,0,0,0,58,8,0
2019-08-14,0,76,0,0,0,0,74,9,0
2019-08-15,0,30,1,0,0,0,74,9,0
2019-08-16,0,75,1,0,0,0,57,9,0
2019-08-17,0,93,0,0,0,0,88,12,0
2019-08-18,0,30,1,0,0,0,83,11,0
2019-08-19,0,29,0,0,0,0,55,8,0
2019-08-20,0,67,0,0,0,0,59,9,0
2019-08-21,0,81,0,0,0,0,74,9,0
2019-08-22,0,27,0,0,0,0,65,9,0
2019-08-23,0,71,0,0,0,0,54,9,0
2019-08-24,0,100,0,0,0,0,92,13,0
2019-08-25,0,34,0,0,0,0,84,11,0
2019-08-26,0,28,0,0,0,0,55,8,0
2019-08-27,0,55,1,0,0,0,55,9,0
2019-08-28,0,54,0,0,0,0,70,9,0
2019-08-29,0,25,0,0,0,0,67,9,0
2019-08-30,0,58,0,0,0,0,51,10,0
2019-08-31,0,61,1,0,0,0,84,12,0
2019-09-01,0,25,0,0,0,0,79,11,0
2019-09-02,0,21,0,0,0,0,52,8,0
2019-09-03,0,47,0,0,0,0,58,9,0
2019-09-04,0,53,0,0,0,0,75,9,0
2019-09-05,0,23,0,0,0,0,72,8,0
2019-09-06,0,45,0,0,0,0,48,9,0
2019-09-07,0,54,0,0,0,0,84,12,0
2019-09-08,0,22,0,0,0,0,83,12,0
2019-09-09,0,20,0,0,0,0,56,8,0
2019-09-10,0,44,0,0,1,0,55,9,0
2019-09-11,0,50,0,0,0,0,72,9,0
2019-09-12,0,22,0,0,0,0,80,9,0
2019-09-13,0,50,1,0,0,0,49,10,0
2019-09-14,0,54,1,0,0,0,81,12,0
2019-09-15,0,23,0,0,0,0,85,10,0
2019-09-16,0,19,0,0,0,0,56,8,0
2019-09-17,0,40,0,0,0,0,55,8,0
2019-09-18,0,43,1,0,0,0,67,9,0
2019-09-19,0,20,1,0,0,0,70,10,0
2019-09-20,0,44,0,0,1,0,44,10,0
2019-09-21,0,51,1,0,0,0,74,12,0
2019-09-22,0,21,1,0,0,0,78,11,0
2019-09-23,0,18,1,0,0,0,55,13,0
2019-09-24,0,39,1,0,0,0,56,12,0
2019-09-25,0,36,1,0,0,0,66,10,0
2019-09-26,0,20,1,0,0,0,69,10,0
2019-09-27,0,48,1,0,0,0,48,11,0
2019-09-28,0,45,1,0,0,0,81,10,0
2019-09-29,0,20,1,0,0,0,81,11,0
2019-09-30,0,19,1,0,0,0,55,8,0
2019-10-01,0,39,0,1,0,0,50,8,0
2019-10-02,0,41,0,0,0,0,73,9,0
2019-10-03,0,20,1,0,0,0,72,9,0
2019-10-04,0,44,0,0,0,0,48,9,0
2019-10-05,0,44,1,0,0,0,82,11,0
2019-10-06,0,21,1,0,0,0,79,11,0
2019-10-07,0,18,0,0,0,0,55,8,0
2019-10-08,0,39,1,0,0,0,49,8,0
2019-10-09,0,42,1,0,0,0,72,9,0
2019-10-10,0,17,0,0,0,0,71,9,0
2019-10-11,0,45,0,0,0,0,48,9,0
2019-10-12,0,44,0,0,0,0,82,11,0
2019-10-13,0,20,1,0,0,0,77,12,0
2019-10-14,0,18,0,0,0,0,51,9,0
2019-10-15,0,39,1,0,0,0,48,10,0
2019-10-16,0,41,0,0,0,0,66,8,0
2019-10-17,0,20,0,0,0,0,67,9,0
2019-10-18,0,41,0,0,0,0,42,10,0
2019-10-19,0,38,0,0,0,0,68,12,0
2019-10-20,0,19,0,0,0,0,60,10,0
2019-10-21,0,17,0,0,0,0,45,10,0
2019-10-22,0,36,1,0,0,0,44,8,0
2019-10-23,0,39,0,0,0,0,59,9,0
2019-10-24,0,18,0,0,0,0,55,10,0
2019-10-25,0,42,1,0,0,0,40,11,0
2019-10-26,0,44,1,0,0,0,64,11,0
2019-10-27,0,19,1,0,0,0,65,10,0
2019-10-28,0,19,0,0,0,0,52,8,0
2019-10-29,0,39,1,0,0,0,51,8,0
2019-10-30,0,44,0,0,0,0,68,9,0
2019-10-31,0,21,0,0,0,0,65,9,0
2019-11-01,0,46,0,0,0,0,47,9,0
2019-11-02,0,52,0,0,0,0,68,12,0
2019-11-03,0,22,1,0,0,0,74,11,0
2019-11-04,0,20,0,0,0,0,57,8,0
2019-11-05,0,45,1,0,0,0,52,9,0
2019-11-06,0,49,0,0,0,0,67,10,0
2019-11-07,0,21,1,0,0,0,71,9,0
2019-11-08,0,46,1,0,1,0,48,10,0
2019-11-09,0,57,1,0,0,0,76,13,0
2019-11-10,0,22,1,0,0,0,72,12,0
2019-11-11,0,22,0,0,0,0,50,9,0
2019-11-12,0,43,1,0,0,0,50,9,0
2019-11-13,0,51,0,0,0,0,69,11,0
2019-11-14,0,21,0,0,0,0,65,10,0
2019-11-15,0,45,0,0,0,0,45,11,0
2019-11-16,0,59,0,0,0,0,81,13,0
2019-11-17,0,22,1,0,0,0,79,13,0
2019-11-18,0,20,1,0,0,0,49,10,0
2019-11-19,0,49,1,0,0,0,55,12,0
2019-11-20,0,56,1,0,0,0,66,11,0
2019-11-21,0,23,1,0,0,0,68,12,0
2019-11-22,0,54,1,0,0,0,48,13,0
2019-11-23,0,66,1,0,0,0,79,15,0
2019-11-24,0,25,1,0,0,0,74,14,0
2019-11-25,0,19,1,0,0,0,50,14,0
2019-11-26,0,55,1,0,0,0,51,13,0
2019-11-27,0,65,1,0,0,0,73,16,0
2019-11-28,0,21,1,0,0,0,62,18,0
2019-11-29,0,45,2,0,0,0,44,24,0
2019-11-30,0,51,1,0,0,0,80,16,0
2019-12-01,0,24,2,0,0,0,81,14,0
2019-12-02,0,19,1,0,0,0,51,13,0
2019-12-03,0,43,1,0,0,0,51,12,0
2019-12-04,0,45,1,0,0,0,63,12,0
2019-12-05,0,19,1,0,0,0,68,12,0
2019-12-06,0,45,1,0,0,0,47,12,0
2019-12-07,0,50,1,0,0,0,74,14,0
2019-12-08,0,23,1,0,0,0,76,12,0
2019-12-09,0,17,1,0,0,0,48,12,0
2019-12-10,0,36,0,0,0,0,47,11,0
2019-12-11,0,45,1,0,0,0,65,13,0
2019-12-12,0,18,1,0,0,0,67,12,0
2019-12-13,0,40,1,0,0,0,45,13,0
2019-12-14,0,43,1,0,0,0,79,14,0
2019-12-15,0,21,1,0,0,0,78,15,0
2019-12-16,0,19,1,0,0,0,53,16,0
2019-12-17,0,41,1,0,0,0,50,13,0
2019-12-18,0,40,1,0,0,0,66,14,0
2019-12-19,0,19,1,0,0,0,67,14,0
2019-12-20,0,49,1,0,0,0,49,16,0
2019-12-21,0,50,1,0,0,0,77,14,0
2019-12-22,0,21,2,0,0,0,74,16,0
2019-12-23,0,19,1,0,0,0,58,16,0
2019-12-24,0,39,1,0,0,0,56,16,0
2019-12-25,0,48,1,0,0,0,60,19,0
2019-12-26,0,24,1,0,0,0,56,15,0
2019-12-27,0,47,1,0,0,0,49,15,0
2019-12-28,0,47,1,0,0,0,80,15,0
2019-12-29,0,20,1,1,0,0,75,13,0
2019-12-30,0,18,1,0,0,0,55,15,0
2019-12-31,0,43,1,0,0,0,53,14,0
2020-01-01,0,45,1,0,0,0,61,15,0
