date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2018-12-30,0,13,0,0,0,0,82,11,0
2018-12-31,0,11,0,0,0,0,43,13,0
2019-01-01,0,16,1,0,0,0,34,13,0
2019-01-02,0,19,0,0,0,0,61,13,0
2019-01-03,0,10,0,0,0,0,56,12,0
2019-01-04,0,25,0,0,0,0,31,11,0
2019-01-05,0,31,0,0,0,0,70,11,0
2019-01-06,0,13,0,0,0,0,69,14,0
2019-01-07,0,11,0,0,0,0,38,10,0
2019-01-08,0,21,0,0,0,0,35,10,0
2019-01-09,0,28,0,0,0,0,58,9,0
2019-01-10,0,13,0,0,0,0,56,8,0
2019-01-11,0,27,0,0,0,0,32,9,0
2019-01-12,0,34,0,0,0,0,69,12,0
2019-01-13,0,13,0,0,0,0,70,11,0
2019-01-14,0,11,0,0,0,0,37,7,0
2019-01-15,0,25,0,0,0,0,39,8,0
2019-01-16,0,32,0,0,0,0,62,8,0
2019-01-17,0,13,0,0,0,0,60,8,0
2019-01-18,0,33,0,0,0,0,33,10,0
2019-01-19,0,39,0,0,0,0,72,12,0
2019-01-20,0,15,0,0,0,0,76,10,0
2019-01-21,0,13,0,0,0,0,42,8,0
2019-01-22,0,29,0,0,0,0,43,10,0
2019-01-23,0,38,0,0,0,0,57,8,0
2019-01-24,0,14,0,0,0,0,58,8,0
2019-01-25,0,35,0,0,0,0,35,10,0
2019-01-26,0,45,0,0,0,0,75,13,0
2019-01-27,0,18,0,0,0,0,80,10,0
2019-01-28,0,17,0,0,0,0,43,8,0
2019-01-29,0,36,0,0,0,0,48,9,0
2019-01-30,0,47,0,0,0,0,69,9,0
2019-01-31,0,19,0,0,0,0,62,8,0
2019-02-01,0,55,0,0,0,0,50,8,0
2019-02-02,0,60,0,0,0,0,100,12,0
2019-02-03,0,22,0,0,0,0,81,11,0
2019-02-04,0,19,0,0,0,0,46,9,0
2019-02-05,0,42,0,0,0,0,51,9,0
2019-02-06,0,49,0,0,0,0,77,8,0
2019-02-07,0,19,0,0,0,0,68,8,0
2019-02-08,0,45,0,0,0,0,45,9,0
2019-02-09,0,56,0,0,0,0,90,11,0
2019-02-10,0,20,0,0,0,0,79,10,0
2019-02-11,0,17,0,0,0,0,42,6,0
2019-02-12,0,44,0,0,0,0,51,8,0
2019-02-13,0,56,0,0,0,0,75,8,0
2019-02-14,0,19,0,0,0,0,64,9,0
2019-02-15,0,51,0,0,0,0,50,9,0
2019-02-16,0,68,0,0,0,0,92,10,0
2019-02-17,0,24,0,0,0,0,83,11,0
2019-02-18,0,22,0,0,0,0,44,7,0
2019-02-19,0,56,0,0,0,0,59,8,0
2019-02-20,0,100,0,0,0,0,91,8,0
2019-02-21,0,21,0,0,0,0,64,8,0
2019-02-22,0,34,0,0,0,0,34,9,0
2019-02-23,0,34,0,0,0,0,73,10,0
2019-02-24,0,15,0,0,0,0,71,9,0
2019-02-25,0,13,0,0,0,0,42,8,0
2019-02-26,0,29,0,0,0,0,43,8,0
2019-02-27,0,31,0,0,0,0,67,9,0
2019-02-28,0,14,0,0,0,0,66,8,0
2019-03-01,0,30,0,0,0,0,32,8,0
2019-03-02,0,32,0,0,0,0,71,10,0
2019-03-03,0,14,0,0,0,0,72,10,0
2019-03-04,0,13,0,0,0,0,43,8,0
2019-03-05,0,26,0,0,0,0,38,8,0
2019-03-06,0,30,0,0,0,0,63,9,0
2019-03-07,0,13,0,0,0,0,65,9,0
2019-03-08,0,27,0,0,0,0,30,10,0
2019-03-09,0,33,0,0,0,0,67,13,0
2019-03-10,0,13,0,0,0,0,77,11,0
2019-03-11,0,12,0,0,0,0,51,9,0
2019-03-12,0,23,0,0,0,0,50,7,0
2019-03-13,0,28,0,0,0,0,72,8,0
2019-03-14,0,12,0,0,0,0,70,10,0
2019-03-15,0,24,0,0,0,0,44,9,0
2019-03-16,0,30,0,0,0,0,75,11,0
2019-03-17,0,11,0,0,0,0,77,10,0
2019-03-18,0,11,0,0,0,0,49,10,0
2019-03-19,0,21,0,0,0,0,53,9,0
2019-03-20,0,28,0,0,0,0,72,10,0
2019-03-21,0,13,0,0,0,0,82,11,0
2019-03-22,0,25,0,0,0,0,49,11,0
2019-03-23,0,32,0,0,0,0,89,12,0
2019-03-24,0,12,0,0,0,0,79,12,0
2019-03-25,0,11,0,0,0,0,53,11,0
2019-03-26,0,23,0,0,0,0,57,10,0
2019-03-27,0,28,0,0,0,0,78,10,0
2019-03-28,0,13,0,0,0,0,86,9,0
2019-03-29,0,27,0,0,0,0,49,10,0
2019-03-30,0,29,0,0,0,0,88,11,0
2019-03-31,0,13,0,0,0,0,85,9,0
2019-04-01,0,12,0,0,0,0,51,9,0
2019-04-02,0,24,0,0,0,0,55,9,0
2019-04-03,0,29,0,0,0,0,76,9,0
2019-04-04,0,12,0,0,0,0,79,8,0
2019-04-05,0,25,0,0,0,0,49,9,0
2019-04-06,0,31,0,0,0,0,86,12,0
2019-04-07,0,13,0,0,0,0,87,11,0
2019-04-08,0,11,0,0,0,0,55,9,0
2019-04-09,0,23,0,0,0,0,57,9,0
2019-04-10,0,29,0,0,0,0,72,10,0
2019-04-11,0,11,0,0,0,0,79,9,0
2019-04-12,0,24,0,0,0,0,51,10,0
2019-04-13,0,29,0,0,0,0,81,12,0
2019-04-14,0,11,0,0,0,0,83,11,0
2019-04-15,0,10,0,0,0,0,52,9,0
2019-04-16,0,22,0,0,0,0,56,9,0
2019-04-17,0,26,0,0,0,0,73,9,0
2019-04-18,0,11,0,0,0,0,73,11,0
