date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2018-12-30,17,4,30,0,25,51,0,0,0,0
2018-12-31,28,5,55,0,45,60,0,0,0,0
2019-01-01,18,4,33,0,27,40,0,0,0,0
2019-01-02,26,5,53,0,43,92,0,0,0,5
2019-01-03,25,5,52,0,44,94,0,0,0,0
2019-01-04,22,5,48,0,38,85,0,0,0,0
2019-01-05,17,4,31,0,28,76,0,0,0,0
2019-01-06,12,2,25,0,23,44,0,0,0,0
2019-01-07,27,5,56,0,43,100,0,0,0,5
2019-01-08,24,5,53,0,43,89,0,0,0,5
2019-01-09,25,5,47,0,43,82,0,0,0,6
2019-01-10,22,5,44,0,36,81,0,0,0,4
2019-01-11,21,5,44,0,38,71,0,0,0,0
2019-01-12,15,4,27,0,26,63,0,0,0,0
2019-01-13,11,3,21,0,20,52,0,0,0,0
2019-01-14,23,4,50,0,41,80,0,0,0,6
2019-01-15,26,6,54,0,43,72,0,0,0,6
2019-01-16,22,5,47,0,40,79,0,0,0,0
2019-01-17,21,4,45,0,33,77,0,0,0,4
2019-01-18,23,4,48,0,42,67,0,0,0,0
2019-01-19,14,4,28,0,27,46,0,0,0,0
2019-01-20,12,4,25,0,21,46,0,0,0,0
2019-01-21,22,5,52,0,43,71,0,0,0,0
2019-01-22,19,5,44,0,40,75,0,0,0,0
2019-01-23,20,5,44,0,42,68,0,0,0,6
2019-01-24,18,4,48,0,42,71,0,0,0,0
2019-01-25,27,5,67,0,64,63,0,0,0,0
2019-01-26,17,5,40,0,100,52,0,0,0,0
2019-01-27,13,4,28,0,77,50,0,0,0,0
2019-01-28,19,6,61,0,59,91,0,0,0,0
2019-01-29,26,5,65,0,61,89,0,0,0,0
2019-01-30,22,5,55,0,55,80,0,0,0,0
2019-01-31,28,6,77,1,62,89,0,0,0,7
2019-02-01,27,6,78,0,61,71,0,0,0,0
2019-02-02,19,6,41,0,37,67,0,0,0,0
2019-02-03,12,3,30,0,25,56,0,0,0,5
2019-02-04,22,5,60,0,51,87,0,0,0,4
2019-02-05,23,6,51,0,43,78,0,0,0,4
2019-02-06,21,5,50,0,43,74,0,0,0,4
2019-02-07,19,5,49,0,39,65,0,0,0,0
2019-02-08,19,4,51,0,41,62,0,0,0,0
2019-02-09,13,4,29,0,29,54,0,0,0,0
2019-02-10,11,3,24,0,22,48,0,0,0,0
2019-02-11,17,3,50,0,38,69,0,0,0,0
2019-02-12,17,4,44,0,39,72,0,0,0,0
2019-02-13,16,4,43,0,39,62,0,0,0,0
2019-02-14,17,4,44,0,42,59,0,0,0,0
2019-02-15,20,6,52,0,51,62,0,0,0,0
2019-02-16,13,4,30,0,52,47,0,0,0,0
2019-02-17,9,4,25,0,58,40,0,0,0,0
2019-02-18,15,4,48,0,51,75,0,0,0,0
2019-02-19,16,6,45,0,43,66,0,0,0,0
2019-02-20,16,5,45,0,40,61,0,0,0,5
2019-02-21,15,5,45,0,43,68,0,0,0,0
2019-02-22,18,6,49,0,46,63,0,0,0,5
2019-02-23,13,5,32,0,32,51,0,0,0,0
2019-02-24,13,3,27,0,22,40,0,0,0,0
2019-02-25,24,5,65,0,55,79,0,0,0,0
2019-02-26,26,6,59,0,60,79,0,0,0,0
2019-02-27,23,5,60,0,52,75,0,0,0,3
2019-02-28,28,8,72,0,64,77,0,0,0,0
2019-03-01,28,5,72,0,62,69,0,0,0,0
2019-03-02,16,5,40,0,37,54,0,0,0,0
